"customer_id";"first_name";"last_name";"referral_id";"email"
"1";"Fred";"Fish";NULL;"ffish@email.com"
"2";"Larry";"Lobs";"1";"llobster@email.com"
"3";"Bubble";"Bass";"2";"bbass@email.com"
"4";"Popy";"Puff";"2";"ppuff"
"5";"Pearl";"Krabs";NULL;"pkrabs@email.com"
"id";"firstname";"lastname";"hourly_pay";"salary";"job";"hire_date";"supervisor_id"
"1";"Eugene";"Krabs";"100.00";"208000.00";"manager";"2023-01-01";NULL
"2";"Squidward";"Tentacles";"16.00";"33280.00";"cashier";"2023-01-02";"5"
"3";"Spongebob";"Squarepants";"13.50";"28080.00";"cook";"2023-01-03";"5"
"4";"Patrick";"Star";"13.50";"28080.00";"cook";"2023-01-03";"5"
"5";"Sandy";"Cheeks";"18.25";"37960.00";"assistant manager";"2023-01-04";"1"
"6";"Sheldon";"Plankton";"10.00";"20800.00";"janitor";"2023-01-05";"5"
"expense_id";"expense_name";"expense_total"
"1";"salaries";"356200.00"
"2";"supplies";"0.00"
"3";"taxes";"0.00"
"product_id";"product_name";"price"
"100";"hamburger";"3.99"
"101";"fries";"1.89"
"102";"soda";"1.00"
"103";"ice cream";"1.49"
"104";"cookies";"0.00"
"104";"straw";"0.00"
"105";"napkin";"0.00"
"106";"fork";"0.00"
"107";"spoon";"0.00"
"id";"string1";"string2"
"1";"sjn";"oismdofim"
"2";"sjn";"oismdofim"
"3";"sjn";"oismdofim"
"4";"sjn";"oismdofim"
"transaction_id";"amount";"customer_id";"order_date"
"1000";"4.22";"1";"2023-01-01"
"1001";"22.36";"3";"2023-01-01"
"1002";"5.66";"2";"2023-01-02"
"1003";"6.66";"1";"2023-01-02"
"1004";"1.00";NULL;"2023-01-03"
"1005";"26.24";"4";"2023-01-03"
"1006";"30.37";NULL;"2023-01-04"
"1007";"10.28";NULL;"2023-01-04"
